run_id,event,timestamp_utc,details
CHAOS-20260609-042101,FAULT_END,2026-06-09T03:34:23Z,dns-error → paymentservice (rep 1/3)
CHAOS-20260609-042101,FAULT_START,2026-06-09T03:44:29Z,memory-stress → paymentservice (rep 1/3)
CHAOS-20260609-042101,FAULT_END,2026-06-09T03:49:30Z,memory-stress → paymentservice (rep 1/3)
CHAOS-20260609-042101,FAULT_START,2026-06-09T03:59:36Z,cpu-stress → adservice (rep 3/3)
CHAOS-20260609-042101,FAULT_END,2026-06-09T04:04:37Z,cpu-stress → adservice (rep 3/3)
CHAOS-20260609-042101,FAULT_START,2026-06-09T04:14:43Z,network-delay → recommendationservice (rep 1/3)
CHAOS-20260609-042101,FAULT_END,2026-06-09T04:19:43Z,network-delay → recommendationservice (rep 1/3)
CHAOS-20260609-042101,FAULT_START,2026-06-09T04:29:50Z,memory-stress → frontend (rep 3/3)
CHAOS-20260609-042101,FAULT_END,2026-06-09T04:34:50Z,memory-stress → frontend (rep 3/3)
CHAOS-20260609-042101,TEST_END,2026-06-09T04:39:57Z,JMeter run completed
